1789148290.161503 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.32, length 46
1789148290.162166 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.32, length 46
1789148290.162166 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.32, length 46
1789148290.236718 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.31, length 46
1789148290.236718 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.31, length 46
1789148290.237940 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.32, length 46
1789148290.237940 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.32, length 46
1789148290.507860 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.31, length 46
1789148290.507860 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.31, length 46
1789148290.511106 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.31, length 46
1789148290.511106 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.31, length 46
1789148290.511983 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.20 tell 192.168.100.31, length 46
1789148290.511983 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.20 tell 192.168.100.31, length 46
1789148290.523108 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.53 tell 192.168.100.30, length 28
1789148290.523118 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.53 tell 192.168.100.30, length 28
1789148290.715108 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.1 tell 192.168.100.30, length 28
1789148290.715121 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.1 tell 192.168.100.30, length 28
1789148290.753567 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.31, length 46
